Nicolle19Name,Horseybark1_final,Horseybark2_final,forming ribbons_final,mallee
Angophora ?inopina,subfibrous - rough,subfibrous - rough / box / tessellated,n,both
Angophora ?robur,subfibrous - rough,subfibrous - rough / box / tessellated,n,no
Angophora bakeri,subfibrous - rough,subfibrous - rough / box / tessellated,n,no
Angophora costata,smooth,smooth,n,no
Angophora crassifolia,subfibrous - rough,subfibrous - rough / box / tessellated,n,both
Angophora floribunda,subfibrous - rough,subfibrous - rough / box / tessellated,n,no
Angophora hispida,subfibrous - rough,subfibrous - rough / box / tessellated,n,both
Angophora leiocarpa,smooth,smooth,n,no
Angophora melanoxylon,subfibrous - rough,subfibrous - rough / box / tessellated,n,no
Angophora paludosa,subfibrous - rough,subfibrous - rough / box / tessellated,n,no
Angophora subvelutina,subfibrous - rough,subfibrous - rough / box / tessellated,n,no
Angophora woodsiana,subfibrous - rough,subfibrous - rough / box / tessellated,n,both
Corymbia clarksoniana,subfibrous - tessellated,subfibrous - rough / box / tessellated,n,no
Corymbia ?dolichocarpa,subfibrous - tessellated,subfibrous - rough / box / tessellated,n,no
Corymbia citriodora,smooth,smooth,n,no
Corymbia eximia,subfibrous - tessellated,subfibrous - rough / box / tessellated,n,no
Corymbia gummifera,subfibrous - tessellated,subfibrous - rough / box / tessellated,n,both
Corymbia intermedia,subfibrous - tessellated,subfibrous - rough / box / tessellated,n,no
Corymbia maculata,smooth,smooth,n,no
Corymbia polycarpa,subfibrous - tessellated,subfibrous - rough / box / tessellated,n,no
Corymbia terminalis,subfibrous - tessellated,subfibrous - rough / box / tessellated,n,both
Corymbia tessellaris,smooth with stocking,smooth with stocking,s,no
Corymbia trachyphloia,subfibrous - tessellated,subfibrous - rough / box / tessellated,n,both
Corymbia variegata,smooth,smooth,n,no
Eucalyptus dorrigoensis,smooth with stocking,smooth with stocking,s,no
Eucalyptus ?aenea,smooth,smooth,y,yes
Eucalyptus ?ancophila,ironbark,ironbark,n,no
Eucalyptus ?beyeri,ironbark,ironbark,n,no
Eucalyptus ?elliptica,smooth,smooth,s,no
Eucalyptus ?fergusonii,ironbark,ironbark,n,no
Eucalyptus ?fracta,ironbark,ironbark,n,both
Eucalyptus ?hypostomatica,subfibrous - box,subfibrous - rough / box / tessellated,n,no
Eucalyptus ?oblonga,stringybark,stringybark,n,no
Eucalyptus ?prominula,stringybark,stringybark,n,no
Eucalyptus ?spectatrix,smooth,smooth,y,yes
Eucalyptus ?yangoura,stringybark,stringybark,n,no
Eucalyptus acaciiformis,subfibrous - stringy,subfibrous - stringy / peppermint,s,no
Eucalyptus acmenioides,subfibrous - stringy,subfibrous - stringy / peppermint,n,no
Eucalyptus agglomerata,stringybark,stringybark,n,no
Eucalyptus aggregata,subfibrous - box,subfibrous - rough / box / tessellated,n,no
Eucalyptus albens,subfibrous - box,subfibrous - rough / box / tessellated,s,no
Eucalyptus alligatrix,subfibrous - stringy,subfibrous - stringy / peppermint,n,no
Eucalyptus alligatrix subsp. alligatrix,subfibrous - stringy,subfibrous - stringy / peppermint,n,no
Eucalyptus amplifolia,smooth with stocking,smooth with stocking,n,no
Eucalyptus andrewsii,subfibrous - peppermint,subfibrous - stringy / peppermint,y,no
Eucalyptus angophoroides,subfibrous - box,subfibrous - rough / box / tessellated,s,no
Eucalyptus apiculata,smooth,smooth,y,yes
Eucalyptus apothalassica,subfibrous - stringy,subfibrous - stringy / peppermint,n,no
Eucalyptus approximans,smooth,smooth,y,yes
Eucalyptus badjensis,halfbark,smooth with stocking,y,no
Eucalyptus baeuerlenii,smooth,smooth,y,both
Eucalyptus baileyana,subfibrous - stringy,subfibrous - stringy / peppermint,n,no
Eucalyptus bakeri,smooth,smooth,y,mallee
Eucalyptus bakeri,halfbark,smooth with stocking,y,tree
Eucalyptus bancroftii,smooth,smooth,n,no
Eucalyptus banksii,subfibrous - box,subfibrous - rough / box / tessellated,s,both
Eucalyptus baueriana,subfibrous - box,subfibrous - rough / box / tessellated,s,no
Eucalyptus baxteri,stringybark,stringybark,n,both
Eucalyptus behriana,halfbark,smooth with stocking,s,both
Eucalyptus bensonii,subfibrous - stringy,subfibrous - stringy / peppermint,s,both
Eucalyptus benthamii,smooth with stocking,smooth with stocking,s,no
Eucalyptus bicostata,smooth with stocking,smooth with stocking,y,no
Eucalyptus blakelyi,smooth,smooth,n,no
Eucalyptus blaxlandii,stringybark,stringybark,s,no
Eucalyptus boliviana,stringybark,stringybark,n,both
Eucalyptus bosistoana,halfbark,smooth with stocking,s,no
Eucalyptus botryoides,subfibrous - rough,subfibrous - rough / box / tessellated,s,no
Eucalyptus bridgesiana,subfibrous - tessellated,subfibrous - rough / box / tessellated,s,no
Eucalyptus brunnea,smooth with stocking,smooth with stocking,s,no
Eucalyptus burgessiana,smooth,smooth,y,both
Eucalyptus caleyi,ironbark,ironbark,n,no
Eucalyptus caliginosa,stringybark,stringybark,n,no
Eucalyptus calycogona,smooth,smooth,s,both
Eucalyptus camaldulensis,smooth with stocking,smooth with stocking,s,no
Eucalyptus cameronii,stringybark,stringybark,n,no
Eucalyptus camfieldii,stringybark,stringybark,n,both
Eucalyptus campanulata,subfibrous - peppermint,subfibrous - stringy / peppermint,y,no
Eucalyptus camphora,smooth with stocking,smooth with stocking,y,both
Eucalyptus canaliculata,smooth,smooth,n,no
Eucalyptus capitellata,stringybark,stringybark,n,no
Eucalyptus carnea,subfibrous - stringy,subfibrous - stringy / peppermint,n,no
Eucalyptus cephalocarpa,subfibrous - peppermint,subfibrous - stringy / peppermint,n,no
Eucalyptus chapmaniana,halfbark,smooth with stocking,y,no
Eucalyptus cinerea,subfibrous - stringy,subfibrous - stringy / peppermint,s,no
Eucalyptus codonocarpa,smooth,smooth,y,yes
Eucalyptus conica,subfibrous - box,subfibrous - rough / box / tessellated,s,no
Eucalyptus consideniana,subfibrous - peppermint,subfibrous - stringy / peppermint,s,both
Eucalyptus conspicua,subfibrous - stringy,subfibrous - stringy / peppermint,s,no
Eucalyptus coolabah,subfibrous - box,subfibrous - rough / box / tessellated,s,no
Eucalyptus corticosa,subfibrous - rough,subfibrous - rough / box / tessellated,s,no
Eucalyptus crebra,ironbark,ironbark,n,no
Eucalyptus croajingolensis,subfibrous - peppermint,subfibrous - stringy / peppermint,s,no
Eucalyptus cunninghamii,smooth,smooth,y,yes
Eucalyptus cypellocarpa,smooth,smooth,y,both
Eucalyptus dalrympleana,smooth with stocking,smooth with stocking,y,no
Eucalyptus dawsonii,smooth,smooth,s,no
Eucalyptus chloroclada,halfbark,smooth with stocking,n,no
Eucalyptus dealbata,smooth with stocking,smooth with stocking,n,both
Eucalyptus deanei,smooth with stocking,smooth with stocking,s,no
Eucalyptus delegatensis,halfbark,smooth with stocking,y,no
Eucalyptus dendromorpha,halfbark,smooth with stocking,y,no
Eucalyptus denticulata,smooth with stocking,smooth with stocking,y,no
Eucalyptus deuaensis,smooth,smooth,s,both
