spp_short,species,bark1,bark2,ribbons
A.bakeri,Angophora bakeri,subfibrous - rough,subfibrous - rough / tellellated,n
A.costatasubsp.costata,Angophora costata subsp. costata,smooth,smooth,n
A.costatasubsp.leiocarpa,Angophora costata subsp. leiocarpa ,smooth,smooth,n
A.floribunda,Angophora floribunda,subfibrous - rough,subfibrous - rough / tellellated,n
A.robur,Angophora robur,subfibrous - rough,subfibrous - rough / tellellated,n
A.subvelutina,Angophora subvelutina,subfibrous - rough,subfibrous - rough / tellellated,n
A.woodsiana,Angophora woodsiana,subfibrous - rough,subfibrous - rough / tellellated,n
C.citriodorasubsp.variegata,Corymbia citriodora subsp. variegata,smooth,smooth,n
C.clarksoniana,Corymbia clarksoniana,subfibrous - tessellated,subfibrous - rough / tellellated,n
C.eximia,Corymbia eximia,subfibrous - tessellated,subfibrous - rough / tellellated,n
C.gummifera,Corymbia gummifera,subfibrous - tessellated,subfibrous - rough / tellellated,n
C.henryi,Corymbia henryi,smooth,smooth,n
C.intermedia,Corymbia intermedia,subfibrous - tessellated,subfibrous - rough / tellellated,n
C.maculata,Corymbia maculata,smooth,smooth,n
E.acaciiformis,Eucalyptus acaciiformis,subfibrous - stringy,subfibrous - box / peppermint,s
E.acmenioides,Eucalyptus acmenioides,subfibrous - stringy,stringybark,n
E.agglomerata,Eucalyptus agglomerata,stringybark,stringybark,n
E.albens,Eucalyptus albens,subfibrous - box,subfibrous - box / peppermint,s
E.amplifolia,Eucalyptus amplifolia,smooth,smooth,n
E.andrewsiisubsp.andrewsii,Eucalyptus andrewsii subsp. andrewsii,subfibrous - peppermint,subfibrous - box / peppermint,y
E.andrewsiisubsp.campanulata,Eucalyptus andrewsii subsp. campanulata,subfibrous - peppermint,subfibrous - box / peppermint,y
E.angophoroides,Eucalyptus angophoroides,subfibrous - box,subfibrous - box / peppermint,s
E.approximanssubsp.codonocarpa,Eucalyptus approximans subsp. codonocarpa ,smooth,smooth,y
E.baileyana,Eucalyptus baileyana,stringybark,stringybark,n
E.beyeri,Eucalyptus beyeri,ironbark,ironbark,n
E.blakelyi,Eucalyptus blakelyi,smooth,smooth,n
E.blaxlandii,Eucalyptus blaxlandii,stringybark,stringybark,s
E.bosistoana,Eucalyptus bosistoana,subfibrous - box,subfibrous - box / peppermint,y
E.botryoides,Eucalyptus botryoides,subfibrous - rough,subfibrous - rough / tellellated,s
E.bridgesiana,Eucalyptus bridgesiana,subfibrous - rough,subfibrous - rough / tellellated,s
E.burgessiana,Eucalyptus burgessiana,smooth,smooth,s
E.caliginosa,Eucalyptus caliginosa,stringybark,stringybark,n
E.camaldulensisvar.camaldulensis,Eucalyptus camaldulensis var. camaldulensis,smooth,smooth,s
E.cameronii,Eucalyptus cameronii,stringybark,stringybark,n
E.canaliculata,Eucalyptus canaliculata,smooth,smooth,n
E.capitellata,Eucalyptus capitellata,stringybark,stringybark,n
E.carnea,Eucalyptus carnea,subfibrous - stringy,stringybark,n
E.chloroclada,Eucalyptus chloroclada,smooth - short stocking,smooth with stocking,n
E.cinerea,Eucalyptus cinerea,stringybark,stringybark,s
E.conica,Eucalyptus conica,subfibrous - box,subfibrous - box / peppermint,s
E.consideniana,Eucalyptus consideniana,subfibrous - peppermint,subfibrous - box / peppermint,y
E.crebra,Eucalyptus crebra,ironbark,ironbark,n
E.cypellocarpa,Eucalyptus cypellocarpa,smooth,smooth,y
E.dalrympleanasubsp.dalrympleana,Eucalyptus dalrympleana subsp. dalrympleana,smooth - short stocking,smooth with stocking,y
