spp_short,Horseyspecies,BioNetspecies,bark1,bark2,ribbons
A. bakeri,Angophora bakeri,Angophora bakeri,subfibrous - rough,subfibrous - rough / tellellated,n
A. costata,Angophora costata subsp. costata,Angophora costata,smooth,smooth,n
A. leiocarpa ,Angophora costata subsp. leiocarpa ,Angophora leiocarpa,smooth,smooth,n
A. floribunda,Angophora floribunda,Angophora floribunda,subfibrous - rough,subfibrous - rough / tellellated,n
A. robur,Angophora robur,Angophora robur,subfibrous - rough,subfibrous - rough / tellellated,n
A. subvelutina,Angophora subvelutina,Angophora subvelutina,subfibrous - rough,subfibrous - rough / tellellated,n
A. woodsiana,Angophora woodsiana,Angophora woodsiana,subfibrous - rough,subfibrous - rough / tellellated,n
C. citriodora,Corymbia citriodora subsp. variegata,Corymbia citriodora,smooth,smooth,n
C. clarksoniana,Corymbia clarksoniana,Corymbia dolichocarpa,subfibrous - tessellated,subfibrous - rough / tellellated,n
C. eximia,Corymbia eximia,Corymbia eximia,subfibrous - tessellated,subfibrous - rough / tellellated,n
C. gummifera,Corymbia gummifera,Corymbia gummifera,subfibrous - tessellated,subfibrous - rough / tellellated,n
C. henryi,Corymbia henryi,Corymbia henryi,smooth,smooth,n
C. intermedia,Corymbia intermedia,Corymbia intermedia,subfibrous - tessellated,subfibrous - rough / tellellated,n
C. maculata,Corymbia maculata,Corymbia maculata,smooth,smooth,n
E. acaciiformis,Eucalyptus acaciiformis,Eucalyptus acaciiformis,subfibrous - stringy,subfibrous - box / peppermint,s
E. acmenoides,Eucalyptus acmenioides,Eucalyptus acmenoides,subfibrous - stringy,stringybark,n
E. agglomerata,Eucalyptus agglomerata,Eucalyptus agglomerata,stringybark,stringybark,n
E. albens,Eucalyptus albens,Eucalyptus albens,subfibrous - box,subfibrous - box / peppermint,s
E. amplifolia,Eucalyptus amplifolia,Eucalyptus amplifolia,smooth,smooth,n
E. andrewsii,Eucalyptus andrewsii subsp. andrewsii,Eucalyptus andrewsii,subfibrous - peppermint,subfibrous - box / peppermint,y
E. campanulata,Eucalyptus andrewsii subsp. campanulata,Eucalyptus campanulata,subfibrous - peppermint,subfibrous - box / peppermint,y
E. angophoroides,Eucalyptus angophoroides,Eucalyptus angophoroides,subfibrous - box,subfibrous - box / peppermint,s
E. codonocarpa ,Eucalyptus approximans subsp. codonocarpa ,Eucalyptus codonocarpa,smooth,smooth,y
E. baileyana,Eucalyptus baileyana,Eucalyptus baileyana,stringybark,stringybark,n
E. beyeriana,Eucalyptus beyeri,Eucalyptus beyeriana,ironbark,ironbark,n
E. blakelyi,Eucalyptus blakelyi,Eucalyptus blakelyi,smooth,smooth,n
E. blaxlandii,Eucalyptus blaxlandii,Eucalyptus blaxlandii,stringybark,stringybark,s
E. bosistoana,Eucalyptus bosistoana,Eucalyptus bosistoana,subfibrous - box,subfibrous - box / peppermint,y
E. botryoides,Eucalyptus botryoides,Eucalyptus botryoides,subfibrous - rough,subfibrous - rough / tellellated,s
E. bridgesiana,Eucalyptus bridgesiana,Eucalyptus bridgesiana,subfibrous - rough,subfibrous - rough / tellellated,s
E. burgessiana,Eucalyptus burgessiana,Eucalyptus burgessiana,smooth,smooth,s
E. caliginosa,Eucalyptus caliginosa,Eucalyptus caliginosa,stringybark,stringybark,n
E. camaldulensis,Eucalyptus camaldulensis var. camaldulensis,Eucalyptus camaldulensis,smooth,smooth,s
E. cameronii,Eucalyptus cameronii,Eucalyptus cameronii,stringybark,stringybark,n
E. canaliculata,Eucalyptus canaliculata,Eucalyptus canaliculata,smooth,smooth,n
E. capitellata,Eucalyptus capitellata,Eucalyptus capitellata,stringybark,stringybark,n
E. carnea,Eucalyptus carnea,Eucalyptus carnea,subfibrous - stringy,stringybark,n
E. chloroclada,Eucalyptus chloroclada,Eucalyptus chloroclada,smooth - short stocking,smooth with stocking,n
